nome_lancamento,tipo_lancamento,data_inicio_captacao,investimento_total,descricao,data_fim_captacao,link_dashboard,link_briefing,observacoes
[BORAnaOBRA] [CHALLENGE],outro,2023-12-10,25000,Confirmado,2025-12-17,,,
[MYLLAMURTA] [JSNM02],outro,2023-12-18,40000,Confirmado,2025-01-08,,,
[GABITIGRE] [ABRIL24],outro,2024-03-18,0,Confirmado,,,,
[JUSTAPENA] [LSMAR24],outro,2024-03-13,0,,,,,
[TEREZASCARDUA] [CH0524],outro,2024-05-09,0,,,,,
[CAMILASCREMIN] [JHSI] [OUT24],outro,2024-09-18,0,,,,,
[CAMILASCREMIN] [BIOLIFT] [OUT24],outro,2024-10-18,5700,Iniciado,,,https://docs.google.com/document/d/1HLMtnkMxNml4YTGmE-3ONDDKTnEsuRquxqs36Ew7oDg/edit,
[TEREZASCARDUA] [RTB] [NOV24],outro,2024-10-31,8000,Iniciado,2025-11-06,,https://docs.google.com/document/d/1VVmenSmfQKjSlDqkItpvmIgAfS1CcnLKtgyzfn6DonA/edit?tab=t0,
[TEREZASCARDUA] [MTAB] [NOV24],outro,2024-11-07,0,Confirmado,2024-11-13,,https://docs.google.com/document/d/14WVvOlz6gw6QrUB2uo4knwmsAQx6dlym5eGT5MPq0Q8/edit?tab=t0,
[COLAB] [GOVSUMMIT] [DEZ24],outro,2024-11-14,20000,Confirmado,,,,
[TEREZASCARDUA] [BLACK] [NOV24],outro,2024-11-14,10000,Iniciado,,,,
[COLAB] [GOVSUMMIT] [DEZ24],outro,2024-11-15,20000,Confirmado,,,,
[TEREZASCARDUA] [RTB] [DEZ24],outro,2024-12-04,0,Iniciado,2024-12-11,,,
[TEREZASCARDUA] [RTB] [JAN25],outro,2025-01-07,2000,Iniciado,2025-01-22,,,
[CAMILASCREMIN] [JAN25],interno,2025-01-27,33000,Confirmado,2025-02-17,https://lookerstudio.google.com/u/0/reporting/a850846f-6e3b-4d22-992d-c2956bc9185a/page/p_wcllpgvagd,https://docs.google.com/document/d/1lUPglOdFJgDw97jxf16NMaflj80gaGnd_HWFn7UbKlA/edit?usp=sharing,
[TEREZASCARDUA] [PF] [FEV25],interno,2025-01-28,10000,Confirmado,,https://lookerstudio.google.com/u/0/reporting/3810bb0c-9704-411c-aaf1-c2f7646c415e/page/p_wcllpgvagd,,
[JP] [CMB12] TEste,interno,2025-02-11,100000,Confirmado,2025-04-12,,http://teste.com,
BORAnaOBRA | ACE_ABR25,externo,2025-04-11,10000,Confirmado,,,https://docs.google.com/document/d/1naxysSesjAV5zxRrHQS2ODeTgtKqMxiylKcvrpfAHAk/edit?tab=t0,
ERIKABELMONTE | MAIO25,externo,2025-05-09,5000,Confirmado,2025-05-26,,https://docs.google.com/spreadsheets/d/1xioEP49yHetuEt6CpOiezd-J02bfXk1QReJypBe7piE/edit?gid=0#gid=0,
BORAnaOBRA | JUNHO25,externo,2025-06-11,5000,Confirmado,2025-06-20,,https://docs.google.com/document/d/14VFA1I0r6wf9AjySxDxLEVseIss56F6NfsVM2Odsk6g/edit?tab=t0#heading=himfts6fc2wvh,
CARLALOUREIRO | JULHO25,interno,2025-06-17,25000,Aguardando Debriefing,2025-07-08,,https://docs.google.com/document/d/1-5imWnO9FZoMgwMvUrAvnok0lbmAaCkbFXisr20nS0Q/edit?tab=t0#heading=hgjdgxs,
